Time,NodeName,DropBytes
+1.7e+07ns,host2,0
+1.7e+07ns,host3,0
+1.7e+07ns,host4,0
+1.7e+07ns,host5,0
+1.7e+07ns,host6,0
+1.7e+07ns,host7,0
+1.7e+07ns,host8,0
+1.7e+07ns,host9,0
+1.7e+07ns,host10,0
+1.7e+07ns,host11,0
+1.7e+07ns,host12,0
+1.7e+07ns,host13,0
+1.7e+07ns,host14,0
+1.7e+07ns,host15,0
+1.7e+07ns,host16,0
+1.7e+07ns,host17,0
+1.7e+07ns,host18,0
+1.7e+07ns,host19,0
+1.7e+07ns,host20,0
+1.7e+07ns,host21,0
+1.7e+07ns,host22,0
+1.7e+07ns,host23,0
+1.7e+07ns,host24,0
+1.7e+07ns,host25,0
+1.7e+07ns,host26,0
+1.7e+07ns,host27,0
+1.7e+07ns,host28,0
+1.7e+07ns,host29,6000
+1.8e+07ns,host0,0
+1.8e+07ns,host1,0
+1.8e+07ns,host2,0
+1.8e+07ns,host3,0
+1.8e+07ns,host4,0
+1.8e+07ns,host5,0
+1.8e+07ns,host6,0
+1.8e+07ns,host7,0
+1.8e+07ns,host8,0
+1.8e+07ns,host9,0
+1.8e+07ns,host10,0
+1.8e+07ns,host11,0
+1.8e+07ns,host12,0
+1.8e+07ns,host13,0
+1.8e+07ns,host14,0
+1.8e+07ns,host15,0
+1.8e+07ns,host16,0
+1.8e+07ns,host17,0
+1.8e+07ns,host18,0
+1.8e+07ns,host19,0
+1.8e+07ns,host20,0
+1.8e+07ns,host21,0
+1.8e+07ns,host22,0
+1.8e+07ns,host23,0
+1.8e+07ns,host24,0
+1.8e+07ns,host25,0
+1.8e+07ns,host26,0
+1.8e+07ns,host27,0
+1.8e+07ns,host28,0
+1.8e+07ns,host29,6000
+1.9e+07ns,host0,0
+1.9e+07ns,host1,0
+1.9e+07ns,host2,0
+1.9e+07ns,host3,0
+1.9e+07ns,host4,0
+1.9e+07ns,host5,0
+1.9e+07ns,host6,0
+1.9e+07ns,host7,0
+1.9e+07ns,host8,0
+1.9e+07ns,host9,0
+1.9e+07ns,host10,0
+1.9e+07ns,host11,0
+1.9e+07ns,host12,0
+1.9e+07ns,host13,0
+1.9e+07ns,host14,0
+1.9e+07ns,host15,0
+1.9e+07ns,host16,0
+1.9e+07ns,host17,0
+1.9e+07ns,host18,0
+1.9e+07ns,host19,0
+1.9e+07ns,host20,0
+1.9e+07ns,host21,0
+1.9e+07ns,host22,0
+1.9e+07ns,host23,0
+1.9e+07ns,host24,0
+1.9e+07ns,host25,0
+1.9e+07ns,host26,0
+1.9e+07ns,host27,0
+1.9e+07ns,host28,0
+1.9e+07ns,host29,6000
+2e+07ns,host0,0
+2e+07ns,host1,0
+2e+07ns,host2,0
+2e+07ns,host3,0
+2e+07ns,host4,0
+2e+07ns,host5,0
+2e+07ns,host6,0
+2e+07ns,host7,0
+2e+07ns,host8,0
+2e+07ns,host9,0
+2e+07ns,host10,0
+2e+07ns,host11,0
+2e+07ns,host12,0
+2e+07ns,host13,0
+2e+07ns,host14,0
+2e+07ns,host15,0
+2e+07ns,host16,0
+2e+07ns,host17,0
+2e+07ns,host18,0
+2e+07ns,host19,0
+2e+07ns,host20,0
+2e+07ns,host21,0
+2e+07ns,host22,0
+2e+07ns,host23,0
+2e+07ns,host24,0
+2e+07ns,host25,0
+2e+07ns,host26,0
+2e+07ns,host27,0
+2e+07ns,host28,0
+2e+07ns,host29,9000
+2.1e+07ns,host0,0
+2.1e+07ns,host1,0
+2.1e+07ns,host2,0
+2.1e+07ns,host3,0
+2.1e+07ns,host4,0
+2.1e+07ns,host5,0
+2.1e+07ns,host6,0
+2.1e+07ns,host7,0
+2.1e+07ns,host8,0
+2.1e+07ns,host9,0
+2.1e+07ns,host10,0
+2.1e+07ns,host11,0
+2.1e+07ns,host12,0
+2.1e+07ns,host13,0
+2.1e+07ns,host14,0
+2.1e+07ns,host15,0
+2.1e+07ns,host16,0
+2.1e+07ns,host17,0
+2.1e+07ns,host18,0
+2.1e+07ns,host19,0
+2.1e+07ns,host20,0
+2.1e+07ns,host21,0
+2.1e+07ns,host22,0
+2.1e+07ns,host23,0
+2.1e+07ns,host24,0
+2.1e+07ns,host25,0
+2.1e+07ns,host26,0
+2.1e+07ns,host27,0
+2.1e+07ns,host28,0
+2.1e+07ns,host29,9000
+2.2e+07ns,host0,0
+2.2e+07ns,host1,0
+2.2e+07ns,host2,0
+2.2e+07ns,host3,0
+2.2e+07ns,host4,0
+2.2e+07ns,host5,0
+2.2e+07ns,host6,0
+2.2e+07ns,host7,0
+2.2e+07ns,host8,0
+2.2e+07ns,host9,0
+2.2e+07ns,host10,0
+2.2e+07ns,host11,0
+2.2e+07ns,host12,0
+2.2e+07ns,host13,0
+2.2e+07ns,host14,0
+2.2e+07ns,host15,0
+2.2e+07ns,host16,0
+2.2e+07ns,host17,0
+2.2e+07ns,host18,0
+2.2e+07ns,host19,0
+2.2e+07ns,host20,0
+2.2e+07ns,host21,0
+2.2e+07ns,host22,0
+2.2e+07ns,host23,0
+2.2e+07ns,host24,0
+2.2e+07ns,host25,0
+2.2e+07ns,host26,0
+2.2e+07ns,host27,0
+2.2e+07ns,host28,0
+2.2e+07ns,host29,9000
+2.3e+07ns,host0,0
+2.3e+07ns,host1,0
+2.3e+07ns,host2,0
+2.3e+07ns,host3,0
+2.3e+07ns,host4,0
+2.3e+07ns,host5,0
+2.3e+07ns,host6,0
+2.3e+07ns,host7,0
+2.3e+07ns,host8,0
+2.3e+07ns,host9,0
+2.3e+07ns,host10,0
+2.3e+07ns,host11,0
+2.3e+07ns,host12,0
+2.3e+07ns,host13,0
+2.3e+07ns,host14,0
+2.3e+07ns,host15,0
+2.3e+07ns,host16,0
+2.3e+07ns,host17,0
+2.3e+07ns,host18,0
+2.3e+07ns,host19,0
+2.3e+07ns,host20,0
+2.3e+07ns,host21,0
+2.3e+07ns,host22,0
+2.3e+07ns,host23,0
+2.3e+07ns,host24,0
+2.3e+07ns,host25,0
+2.3e+07ns,host26,0
+2.3e+07ns,host27,0
+2.3e+07ns,host28,0
+2.3e+07ns,host29,9000
+2.4e+07ns,host0,0
+2.4e+07ns,host1,0
+2.4e+07ns,host2,0
+2.4e+07ns,host3,0
+2.4e+07ns,host4,0
+2.4e+07ns,host5,0
+2.4e+07ns,host6,0
+2.4e+07ns,host7,0
+2.4e+07ns,host8,0
+2.4e+07ns,host9,0
+2.4e+07ns,host10,0
+2.4e+07ns,host11,0
+2.4e+07ns,host12,0
+2.4e+07ns,host13,0
+2.4e+07ns,host14,0
+2.4e+07ns,host15,0
+2.4e+07ns,host16,0
+2.4e+07ns,host17,0
+2.4e+07ns,host18,0
+2.4e+07ns,host19,0
+2.4e+07ns,host20,0
+2.4e+07ns,host21,0
+2.4e+07ns,host22,0
+2.4e+07ns,host23,0
+2.4e+07ns,host24,0
+2.4e+07ns,host25,0
+2.4e+07ns,host26,0
+2.4e+07ns,host27,0
+2.4e+07ns,host28,0
+2.4e+07ns,host29,9000
+2.5e+07ns,host0,0
+2.5e+07ns,host1,0
+2.5e+07ns,host2,0
+2.5e+07ns,host3,0
+2.5e+07ns,host4,0
+2.5e+07ns,host5,0
+2.5e+07ns,host6,0
+2.5e+07ns,host7,0
+2.5e+07ns,host8,0
+2.5e+07ns,host9,0
+2.5e+07ns,host10,0
+2.5e+07ns,host11,0
+2.5e+07ns,host12,0
+2.5e+07ns,host13,0
+2.5e+07ns,host14,0
+2.5e+07ns,host15,0
+2.5e+07ns,host16,0
+2.5e+07ns,host17,0
+2.5e+07ns,host18,0
+2.5e+07ns,host19,0
+2.5e+07ns,host20,0
+2.5e+07ns,host21,0
+2.5e+07ns,host22,0
+2.5e+07ns,host23,0
+2.5e+07ns,host24,0
+2.5e+07ns,host25,0
+2.5e+07ns,host26,0
+2.5e+07ns,host27,0
+2.5e+07ns,host28,0
+2.5e+07ns,host29,9000
+2.6e+07ns,host0,0
+2.6e+07ns,host1,0
+2.6e+07ns,host2,0
+2.6e+07ns,host3,0
+2.6e+07ns,host4,0
+2.6e+07ns,host5,0
+2.6e+07ns,host6,0
+2.6e+07ns,host7,0
+2.6e+07ns,host8,0
+2.6e+07ns,host9,0
+2.6e+07ns,host10,0
+2.6e+07ns,host11,0
+2.6e+07ns,host12,0
+2.6e+07ns,host13,0
+2.6e+07ns,host14,0
+2.6e+07ns,host15,0
+2.6e+07ns,host16,0
+2.6e+07ns,host17,0
+2.6e+07ns,host18,0
+2.6e+07ns,host19,0
+2.6e+07ns,host20,0
+2.6e+07ns,host21,0
+2.6e+07ns,host22,0
+2.6e+07ns,host23,0
+2.6e+07ns,host24,0
+2.6e+07ns,host25,0
+2.6e+07ns,host26,0
+2.6e+07ns,host27,0
+2.6e+07ns,host28,0
+2.6e+07ns,host29,9000
+2.7e+07ns,host0,0
+2.7e+07ns,host1,0
+2.7e+07ns,host2,0
+2.7e+07ns,host3,0
+2.7e+07ns,host4,0
+2.7e+07ns,host5,0
+2.7e+07ns,host6,0
+2.7e+07ns,host7,0
+2.7e+07ns,host8,0
+2.7e+07ns,host9,0
+2.7e+07ns,host10,0
+2.7e+07ns,host11,0
+2.7e+07ns,host12,0
+2.7e+07ns,host13,0
+2.7e+07ns,host14,0
+2.7e+07ns,host15,0
+2.7e+07ns,host16,0
+2.7e+07ns,host17,0
+2.7e+07ns,host18,0
+2.7e+07ns,host19,0
+2.7e+07ns,host20,0
+2.7e+07ns,host21,0
+2.7e+07ns,host22,0
+2.7e+07ns,host23,0
+2.7e+07ns,host24,0
+2.7e+07ns,host25,0
+2.7e+07ns,host26,0
+2.7e+07ns,host27,0
+2.7e+07ns,host28,0
+2.7e+07ns,host29,9000
+2.8e+07ns,host0,0
+2.8e+07ns,host1,0
+2.8e+07ns,host2,0
+2.8e+07ns,host3,0
+2.8e+07ns,host4,0
+2.8e+07ns,host5,0
+2.8e+07ns,host6,0
+2.8e+07ns,host7,0
+2.8e+07ns,host8,0
+2.8e+07ns,host9,0
+2.8e+07ns,host10,0
+2.8e+07ns,host11,0
+2.8e+07ns,host12,0
+2.8e+07ns,host13,0
+2.8e+07ns,host14,0
+2.8e+07ns,host15,0
+2.8e+07ns,host16,0
+2.8e+07ns,host17,0
+2.8e+07ns,host18,0
+2.8e+07ns,host19,0
+2.8e+07ns,host20,0
+2.8e+07ns,host21,0
+2.8e+07ns,host22,0
+2.8e+07ns,host23,0
+2.8e+07ns,host24,0
+2.8e+07ns,host25,0
+2.8e+07ns,host26,0
+2.8e+07ns,host27,0
+2.8e+07ns,host28,0
+2.8e+07ns,host29,9000
+2.9e+07ns,host0,0
+2.9e+07ns,host1,0
+2.9e+07ns,host2,0
+2.9e+07ns,host3,0
+2.9e+07ns,host4,0
+2.9e+07ns,host5,0
+2.9e+07ns,host6,0
+2.9e+07ns,host7,0
+2.9e+07ns,host8,0
+2.9e+07ns,host9,0
+2.9e+07ns,host10,0
+2.9e+07ns,host11,0
+2.9e+07ns,host12,0
+2.9e+07ns,host13,0
+2.9e+07ns,host14,0
+2.9e+07ns,host15,0
+2.9e+07ns,host16,0
+2.9e+07ns,host17,0
+2.9e+07ns,host18,0
+2.9e+07ns,host19,0
+2.9e+07ns,host20,0
+2.9e+07ns,host21,0
+2.9e+07ns,host22,0
+2.9e+07ns,host23,0
+2.9e+07ns,host24,0
+2.9e+07ns,host25,0
+2.9e+07ns,host26,0
+2.9e+07ns,host27,0
+2.9e+07ns,host28,0
+2.9e+07ns,host29,9000
+3e+07ns,host0,0
+3e+07ns,host1,0
+3e+07ns,host2,0
+3e+07ns,host3,0
+3e+07ns,host4,0
+3e+07ns,host5,0
+3e+07ns,host6,0
+3e+07ns,host7,0
+3e+07ns,host8,0
+3e+07ns,host9,0
+3e+07ns,host10,0
+3e+07ns,host11,0
+3e+07ns,host12,0
+3e+07ns,host13,0
+3e+07ns,host14,0
+3e+07ns,host15,0
+3e+07ns,host16,0
+3e+07ns,host17,0
+3e+07ns,host18,0
+3e+07ns,host19,0
+3e+07ns,host20,0
+3e+07ns,host21,0
+3e+07ns,host22,0
+3e+07ns,host23,0
+3e+07ns,host24,0
+3e+07ns,host25,0
+3e+07ns,host26,0
+3e+07ns,host27,0
+3e+07ns,host28,0
+3e+07ns,host29,12000
+3.1e+07ns,host0,0
+3.1e+07ns,host1,0
+3.1e+07ns,host2,0
+3.1e+07ns,host3,0
+3.1e+07ns,host4,0
+3.1e+07ns,host5,0
+3.1e+07ns,host6,0
+3.1e+07ns,host7,0
+3.1e+07ns,host8,0
+3.1e+07ns,host9,0
+3.1e+07ns,host10,0
+3.1e+07ns,host11,0
+3.1e+07ns,host12,0
+3.1e+07ns,host13,0
+3.1e+07ns,host14,0
+3.1e+07ns,host15,0
+3.1e+07ns,host16,0
+3.1e+07ns,host17,0
+3.1e+07ns,host18,0
+3.1e+07ns,host19,0
+3.1e+07ns,host20,0
+3.1e+07ns,host21,0
+3.1e+07ns,host22,0
+3.1e+07ns,host23,0
+3.1e+07ns,host24,0
+3.1e+07ns,host25,0
+3.1e+07ns,host26,0
+3.1e+07ns,host27,0
+3.1e+07ns,host28,0
+3.1e+07ns,host29,12000
+3.2e+07ns,host0,0
+3.2e+07ns,host1,0
+3.2e+07ns,host2,0
+3.2e+07ns,host3,0
+3.2e+07ns,host4,0
+3.2e+07ns,host5,0
+3.2e+07ns,host6,0
+3.2e+07ns,host7,0
+3.2e+07ns,host8,0
+3.2e+07ns,host9,0
+3.2e+07ns,host10,0
+3.2e+07ns,host11,0
+3.2e+07ns,host12,0
+3.2e+07ns,host13,0
+3.2e+07ns,host14,0
+3.2e+07ns,host15,0
+3.2e+07ns,host16,0
+3.2e+07ns,host17,0
+3.2e+07ns,host18,0
+3.2e+07ns,host19,0
+3.2e+07ns,host20,0
+3.2e+07ns,host21,0
+3.2e+07ns,host22,0
+3.2e+07ns,host23,0
+3.2e+07ns,host24,0
+3.2e+07ns,host25,0
