PacketName,Size,CreateTime,EndTime,Duration,HopCount,SourceAddress
pk-host21-to-host18-#162,1500,+2e+07ns,+2.0336e+07ns,336000,3,1.0.0.22
pk-host9-to-host18-#138,1500,+2e+07ns,+2.0348e+07ns,348000,3,1.0.0.10
pk-host11-to-host18-#142,1500,+2e+07ns,+2.0348e+07ns,348000,3,1.0.0.12
pk-host27-to-host18-#174,1500,+2e+07ns,+2.0348e+07ns,348000,3,1.0.0.28
pk-host3-to-host18-#127,1500,+2e+07ns,+2.036e+07ns,360000,3,1.0.0.4
pk-host7-to-host18-#135,1500,+2e+07ns,+2.036e+07ns,360000,3,1.0.0.8
pk-host21-to-host18-#163,1500,+2e+07ns,+2.036e+07ns,360000,3,1.0.0.22
pk-host9-to-host18-#139,1500,+2e+07ns,+2.0372e+07ns,372000,3,1.0.0.10
pk-host15-to-host18-#150,1500,+2e+07ns,+2.0372e+07ns,372000,3,1.0.0.16
pk-host27-to-host18-#175,1500,+2e+07ns,+2.0372e+07ns,372000,3,1.0.0.28
pk-host11-to-host18-#143,1500,+2e+07ns,+2.0384e+07ns,384000,3,1.0.0.12
pk-host15-to-host18-#151,1500,+2e+07ns,+2.0396e+07ns,396000,3,1.0.0.16
pk-host2-to-host18-#124,1500,+2e+07ns,+2.0448e+07ns,448000,4,1.0.0.3
pk-host4-to-host18-#128,1500,+2e+07ns,+2.0448e+07ns,448000,4,1.0.0.5
pk-host20-to-host18-#160,1500,+2e+07ns,+2.0448e+07ns,448000,4,1.0.0.21
pk-host6-to-host18-#132,1500,+2e+07ns,+2.046e+07ns,460000,4,1.0.0.7
pk-host4-to-host18-#129,1500,+2e+07ns,+2.046e+07ns,460000,4,1.0.0.5
pk-host26-to-host18-#172,1500,+2e+07ns,+2.046e+07ns,460000,4,1.0.0.27
pk-host2-to-host18-#125,1500,+2e+07ns,+2.0472e+07ns,472000,4,1.0.0.3
pk-host20-to-host18-#161,1500,+2e+07ns,+2.0472e+07ns,472000,4,1.0.0.21
pk-host10-to-host18-#140,1500,+2e+07ns,+2.0484e+07ns,484000,4,1.0.0.11
pk-host26-to-host18-#173,1500,+2e+07ns,+2.0484e+07ns,484000,4,1.0.0.27
pk-host6-to-host18-#133,1500,+2e+07ns,+2.0496e+07ns,496000,4,1.0.0.7
pk-host10-to-host18-#141,1500,+2e+07ns,+2.0508e+07ns,508000,4,1.0.0.11
