Time,NodeName,Port,QueueIndex,Length
+2.3e+07ns,host1,2,0,4
+2.3e+07ns,host2,0,0,0
+2.3e+07ns,host2,1,0,0
+2.3e+07ns,host2,2,0,0
+2.3e+07ns,host2,3,0,4
+2.3e+07ns,host3,0,0,0
+2.3e+07ns,host3,1,0,5
+2.3e+07ns,host3,2,0,0
+2.3e+07ns,host4,0,0,4
+2.3e+07ns,host4,1,0,0
+2.4e+07ns,host0,0,0,3
+2.4e+07ns,host0,1,0,0
+2.4e+07ns,host1,0,0,0
+2.4e+07ns,host1,1,0,0
+2.4e+07ns,host1,2,0,3
+2.4e+07ns,host2,0,0,0
+2.4e+07ns,host2,1,0,0
+2.4e+07ns,host2,2,0,0
+2.4e+07ns,host2,3,0,3
+2.4e+07ns,host3,0,0,0
+2.4e+07ns,host3,1,0,4
+2.4e+07ns,host3,2,0,0
+2.4e+07ns,host4,0,0,3
+2.4e+07ns,host4,1,0,0
+2.5e+07ns,host0,0,0,3
+2.5e+07ns,host0,1,0,0
+2.5e+07ns,host1,0,0,0
+2.5e+07ns,host1,1,0,0
+2.5e+07ns,host1,2,0,3
+2.5e+07ns,host2,0,0,0
+2.5e+07ns,host2,1,0,0
+2.5e+07ns,host2,2,0,0
+2.5e+07ns,host2,3,0,3
+2.5e+07ns,host3,0,0,0
+2.5e+07ns,host3,1,0,5
+2.5e+07ns,host3,2,0,0
+2.5e+07ns,host4,0,0,3
+2.5e+07ns,host4,1,0,0
+2.6e+07ns,host0,0,0,3
+2.6e+07ns,host0,1,0,0
+2.6e+07ns,host1,0,0,0
+2.6e+07ns,host1,1,0,0
+2.6e+07ns,host1,2,0,3
+2.6e+07ns,host2,0,0,0
+2.6e+07ns,host2,1,0,0
+2.6e+07ns,host2,2,0,0
+2.6e+07ns,host2,3,0,3
+2.6e+07ns,host3,0,0,0
+2.6e+07ns,host3,1,0,5
+2.6e+07ns,host3,2,0,0
+2.6e+07ns,host4,0,0,3
+2.6e+07ns,host4,1,0,0
+2.7e+07ns,host0,0,0,3
+2.7e+07ns,host0,1,0,0
+2.7e+07ns,host1,0,0,0
+2.7e+07ns,host1,1,0,0
+2.7e+07ns,host1,2,0,3
+2.7e+07ns,host2,0,0,0
+2.7e+07ns,host2,1,0,0
+2.7e+07ns,host2,2,0,0
+2.7e+07ns,host2,3,0,3
+2.7e+07ns,host3,0,0,0
+2.7e+07ns,host3,1,0,5
+2.7e+07ns,host3,2,0,0
+2.7e+07ns,host4,0,0,3
+2.7e+07ns,host4,1,0,0
+2.8e+07ns,host0,0,0,3
+2.8e+07ns,host0,1,0,0
+2.8e+07ns,host1,0,0,0
+2.8e+07ns,host1,1,0,0
+2.8e+07ns,host1,2,0,3
+2.8e+07ns,host2,0,0,0
+2.8e+07ns,host2,1,0,0
+2.8e+07ns,host2,2,0,0
+2.8e+07ns,host2,3,0,3
+2.8e+07ns,host3,0,0,0
+2.8e+07ns,host3,1,0,5
+2.8e+07ns,host3,2,0,0
+2.8e+07ns,host4,0,0,3
+2.8e+07ns,host4,1,0,0
+2.9e+07ns,host0,0,0,3
+2.9e+07ns,host0,1,0,0
+2.9e+07ns,host1,0,0,0
+2.9e+07ns,host1,1,0,0
+2.9e+07ns,host1,2,0,3
+2.9e+07ns,host2,0,0,0
+2.9e+07ns,host2,1,0,0
+2.9e+07ns,host2,2,0,0
+2.9e+07ns,host2,3,0,3
+2.9e+07ns,host3,0,0,0
+2.9e+07ns,host3,1,0,5
+2.9e+07ns,host3,2,0,0
+2.9e+07ns,host4,0,0,3
+2.9e+07ns,host4,1,0,0
+3e+07ns,host0,0,0,5
+3e+07ns,host0,1,0,0
+3e+07ns,host1,0,0,0
+3e+07ns,host1,1,0,0
+3e+07ns,host1,2,0,5
+3e+07ns,host2,0,0,0
+3e+07ns,host2,1,0,0
+3e+07ns,host2,2,0,0
+3e+07ns,host2,3,0,5
+3e+07ns,host3,0,0,0
+3e+07ns,host3,1,0,7
+3e+07ns,host3,2,0,0
+3e+07ns,host4,0,0,5
+3e+07ns,host4,1,0,0
+3.1e+07ns,host0,0,0,5
+3.1e+07ns,host0,1,0,0
+3.1e+07ns,host1,0,0,0
+3.1e+07ns,host1,1,0,0
+3.1e+07ns,host1,2,0,5
+3.1e+07ns,host2,0,0,0
+3.1e+07ns,host2,1,0,0
+3.1e+07ns,host2,2,0,0
+3.1e+07ns,host2,3,0,5
+3.1e+07ns,host3,0,0,0
+3.1e+07ns,host3,1,0,7
+3.1e+07ns,host3,2,0,0
+3.1e+07ns,host4,0,0,5
+3.1e+07ns,host4,1,0,0
+3.2e+07ns,host0,0,0,5
+3.2e+07ns,host0,1,0,0
+3.2e+07ns,host1,0,0,0
+3.2e+07ns,host1,1,0,0
+3.2e+07ns,host1,2,0,5
+3.2e+07ns,host2,0,0,0
+3.2e+07ns,host2,1,0,0
+3.2e+07ns,host2,2,0,0
+3.2e+07ns,host2,3,0,5
+3.2e+07ns,host3,0,0,0
+3.2e+07ns,host3,1,0,7
+3.2e+07ns,host3,2,0,0
+3.2e+07ns,host4,0,0,5
+3.2e+07ns,host4,1,0,0
+3.3e+07ns,host0,0,0,5
+3.3e+07ns,host0,1,0,0
+3.3e+07ns,host1,0,0,0
+3.3e+07ns,host1,1,0,0
+3.3e+07ns,host1,2,0,5
+3.3e+07ns,host2,0,0,0
+3.3e+07ns,host2,1,0,0
+3.3e+07ns,host2,2,0,0
+3.3e+07ns,host2,3,0,5
+3.3e+07ns,host3,0,0,0
+3.3e+07ns,host3,1,0,7
+3.3e+07ns,host3,2,0,0
+3.3e+07ns,host4,0,0,5
+3.3e+07ns,host4,1,0,0
+3.4e+07ns,host0,0,0,5
+3.4e+07ns,host0,1,0,0
+3.4e+07ns,host1,0,0,0
+3.4e+07ns,host1,1,0,0
+3.4e+07ns,host1,2,0,5
+3.4e+07ns,host2,0,0,0
+3.4e+07ns,host2,1,0,0
+3.4e+07ns,host2,2,0,0
+3.4e+07ns,host2,3,0,5
+3.4e+07ns,host3,0,0,0
+3.4e+07ns,host3,1,0,7
+3.4e+07ns,host3,2,0,0
+3.4e+07ns,host4,0,0,5
+3.4e+07ns,host4,1,0,0
+3.5e+07ns,host0,0,0,5
+3.5e+07ns,host0,1,0,0
+3.5e+07ns,host1,0,0,0
+3.5e+07ns,host1,1,0,0
+3.5e+07ns,host1,2,0,5
+3.5e+07ns,host2,0,0,0
+3.5e+07ns,host2,1,0,0
+3.5e+07ns,host2,2,0,0
+3.5e+07ns,host2,3,0,5
+3.5e+07ns,host3,0,0,0
+3.5e+07ns,host3,1,0,7
+3.5e+07ns,host3,2,0,0
+3.5e+07ns,host4,0,0,5
+3.5e+07ns,host4,1,0,0
+3.6e+07ns,host0,0,0,4
+3.6e+07ns,host0,1,0,0
+3.6e+07ns,host1,0,0,0
+3.6e+07ns,host1,1,0,0
+3.6e+07ns,host1,2,0,4
+3.6e+07ns,host2,0,0,0
+3.6e+07ns,host2,1,0,0
+3.6e+07ns,host2,2,0,0
+3.6e+07ns,host2,3,0,4
+3.6e+07ns,host3,0,0,0
+3.6e+07ns,host3,1,0,6
+3.6e+07ns,host3,2,0,0
+3.6e+07ns,host4,0,0,4
+3.6e+07ns,host4,1,0,0
+3.7e+07ns,host0,0,0,4
+3.7e+07ns,host0,1,0,0
+3.7e+07ns,host1,0,0,0
+3.7e+07ns,host1,1,0,0
+3.7e+07ns,host1,2,0,4
+3.7e+07ns,host2,0,0,0
+3.7e+07ns,host2,1,0,0
+3.7e+07ns,host2,2,0,0
+3.7e+07ns,host2,3,0,4
+3.7e+07ns,host3,0,0,0
+3.7e+07ns,host3,1,0,7
+3.7e+07ns,host3,2,0,0
+3.7e+07ns,host4,0,0,4
+3.7e+07ns,host4,1,0,0
+3.8e+07ns,host0,0,0,4
+3.8e+07ns,host0,1,0,0
+3.8e+07ns,host1,0,0,0
+3.8e+07ns,host1,1,0,0
+3.8e+07ns,host1,2,0,4
+3.8e+07ns,host2,0,0,0
+3.8e+07ns,host2,1,0,0
+3.8e+07ns,host2,2,0,0
+3.8e+07ns,host2,3,0,4
+3.8e+07ns,host3,0,0,0
+3.8e+07ns,host3,1,0,7
+3.8e+07ns,host3,2,0,0
+3.8e+07ns,host4,0,0,4
+3.8e+07ns,host4,1,0,0
+3.9e+07ns,host0,0,0,4
+3.9e+07ns,host0,1,0,0
+3.9e+07ns,host1,0,0,0
+3.9e+07ns,host1,1,0,0
+3.9e+07ns,host1,2,0,4
+3.9e+07ns,host2,0,0,0
+3.9e+07ns,host2,1,0,0
+3.9e+07ns,host2,2,0,0
+3.9e+07ns,host2,3,0,4
+3.9e+07ns,host3,0,0,0
+3.9e+07ns,host3,1,0,7
+3.9e+07ns,host3,2,0,0
+3.9e+07ns,host4,0,0,4
+3.9e+07ns,host4,1,0,0
+4e+07ns,host0,0,0,6
+4e+07ns,host0,1,0,0
+4e+07ns,host1,0,0,0
+4e+07ns,host1,1,0,0
+4e+07ns,host1,2,0,6
+4e+07ns,host2,0,0,0
+4e+07ns,host2,1,0,0
+4e+07ns,host2,2,0,0
+4e+07ns,host2,3,0,6
+4e+07ns,host3,0,0,0
+4e+07ns,host3,1,0,9
+4e+07ns,host3,2,0,0
+4e+07ns,host4,0,0,6
+4e+07ns,host4,1,0,0
+4.1e+07ns,host0,0,0,6
+4.1e+07ns,host0,1,0,0
+4.1e+07ns,host1,0,0,0
+4.1e+07ns,host1,1,0,0
+4.1e+07ns,host1,2,0,6
+4.1e+07ns,host2,0,0,0
+4.1e+07ns,host2,1,0,0
+4.1e+07ns,host2,2,0,0
+4.1e+07ns,host2,3,0,6
+4.1e+07ns,host3,0,0,0
+4.1e+07ns,host3,1,0,9
+4.1e+07ns,host3,2,0,0
+4.1e+07ns,host4,0,0,6
+4.1e+07ns,host4,1,0,0
+4.2e+07ns,host0,0,0,6
+4.2e+07ns,host0,1,0,0
+4.2e+07ns,host1,0,0,0
+4.2e+07ns,host1,1,0,0
+4.2e+07ns,host1,2,0,6
+4.2e+07ns,host2,0,0,0
+4.2e+07ns,host2,1,0,0
+4.2e+07ns,host2,2,0,0
+4.2e+07ns,host2,3,0,6
+4.2e+07ns,host3,0,0,0
+4.2e+07ns,host3,1,0,9
+4.2e+07ns,host3,2,0,0
+4.2e+07ns,host4,0,0,6
+4.2e+07ns,host4,1,0,0
+4.3e+07ns,host0,0,0,6
+4.3e+07ns,host0,1,0,0
+4.3e+07ns,host1,0,0,0
+4.3e+07ns,host1,1,0,0
+4.3e+07ns,host1,2,0,6
+4.3e+07ns,host2,0,0,0
+4.3e+07ns,host2,1,0,0
+4.3e+07ns,host2,2,0,0
+4.3e+07ns,host2,3,0,6
+4.3e+07ns,host3,0,0,0
+4.3e+07ns,host3,1,0,9
+4.3e+07ns,host3,2,0,0
+4.3e+07ns,host4,0,0,6
+4.3e+07ns,host4,1,0,0
+4.4e+07ns,host0,0,0,6
+4.4e+07ns,host0,1,0,0
+4.4e+07ns,host1,0,0,0
+4.4e+07ns,host1,1,0,0
+4.4e+07ns,host1,2,0,6
+4.4e+07ns,host2,0,0,0
+4.4e+07ns,host2,1,0,0
+4.4e+07ns,host2,2,0,0
+4.4e+07ns,host2,3,0,6
+4.4e+07ns,host3,0,0,0
+4.4e+07ns,host3,1,0,9
+4.4e+07ns,host3,2,0,0
+4.4e+07ns,host4,0,0,6
+4.4e+07ns,host4,1,0,0
+4.5e+07ns,host0,0,0,6
+4.5e+07ns,host0,1,0,0
+4.5e+07ns,host1,0,0,0
+4.5e+07ns,host1,1,0,0
+4.5e+07ns,host1,2,0,6
+4.5e+07ns,host2,0,0,0
+4.5e+07ns,host2,1,0,0
+4.5e+07ns,host2,2,0,0
+4.5e+07ns,host2,3,0,6
+4.5e+07ns,host3,0,0,0
+4.5e+07ns,host3,1,0,9
+4.5e+07ns,host3,2,0,0
+4.5e+07ns,host4,0,0,6
+4.5e+07ns,host4,1,0,0
+4.6e+07ns,host0,0,0,6
+4.6e+07ns,host0,1,0,0
+4.6e+07ns,host1,0,0,0
+4.6e+07ns,host1,1,0,0
+4.6e+07ns,host1,2,0,6
+4.6e+07ns,host2,0,0,0
+4.6e+07ns,host2,1,0,0
+4.6e+07ns,host2,2,0,0
+4.6e+07ns,host2,3,0,6
+4.6e+07ns,host3,0,0,0
+4.6e+07ns,host3,1,0,9
+4.6e+07ns,host3,2,0,0
+4.6e+07ns,host4,0,0,6
+4.6e+07ns,host4,1,0,0
+4.7e+07ns,host0,0,0,6
+4.7e+07ns,host0,1,0,0
+4.7e+07ns,host1,0,0,0
+4.7e+07ns,host1,1,0,0
+4.7e+07ns,host1,2,0,6
+4.7e+07ns,host2,0,0,0
+4.7e+07ns,host2,1,0,0
+4.7e+07ns,host2,2,0,0
+4.7e+07ns,host2,3,0,6
+4.7e+07ns,host3,0,0,0
+4.7e+07ns,host3,1,0,9
+4.7e+07ns,host3,2,0,0
+4.7e+07ns,host4,0,0,6
+4.7e+07ns,host4,1,0,0
+4.8e+07ns,host0,0,0,5
+4.8e+07ns,host0,1,0,0
+4.8e+07ns,host1,0,0,0
+4.8e+07ns,host1,1,0,0
+4.8e+07ns,host1,2,0,5
+4.8e+07ns,host2,0,0,0
+4.8e+07ns,host2,1,0,0
+4.8e+07ns,host2,2,0,0
+4.8e+07ns,host2,3,0,5
+4.8e+07ns,host3,0,0,0
+4.8e+07ns,host3,1,0,8
+4.8e+07ns,host3,2,0,0
+4.8e+07ns,host4,0,0,5
+4.8e+07ns,host4,1,0,0
+4.9e+07ns,host0,0,0,5
+4.9e+07ns,host0,1,0,0
+4.9e+07ns,host1,0,0,0
+4.9e+07ns,host1,1,0,0
+4.9e+07ns,host1,2,0,5
+4.9e+07ns,host2,0,0,0
+4.9e+07ns,host2,1,0,0
+4.9e+07ns,host2,2,0,0
+4.9e+07ns,host2,3,0,5
+4.9e+07ns,host3,0,0,0
